TAJS - Type Analyzer for JavaScript
(C) 2008-2010 Anders M?ller, Simon Holm Jensen, Peter Thiemann, Magnus Madsen, Matthias Diehn Ingesman, Roman Matthias Keil

===========  Loading files ===========
Parsing ../test/md5/md5.js
===========  Data flow analysis ===========
block  588 at ../test/md5/md5.js:1, transfers:    1 (avg/node: 0.0), pending: 1, contexts: 1
block  585 at ../test/md5/md5.js:14, transfers:   30 (avg/node: 0.011), pending: 1, contexts: 1
block  586 at ../test/md5/md5.js:381, transfers:   37 (avg/node: 0.014), pending: 1, contexts: 1
block    6 at ../test/md5/md5.js:21, transfers:   38 (avg/node: 0.015), pending: 1, contexts: 1
block    7 at ../test/md5/md5.js:21, transfers:   44 (avg/node: 0.017), pending: 1, contexts: 1
block  308 at ../test/md5/md5.js:159, transfers:   45 (avg/node: 0.017), pending: 1, contexts: 1
block  260 at ../test/md5/md5.js:161, transfers:   50 (avg/node: 0.019), pending: 1, contexts: 1
block  305 at ../test/md5/md5.js:165, transfers:   55 (avg/node: 0.021), pending: 1, contexts: 1
block  261 at ../test/md5/md5.js:168, transfers:   66 (avg/node: 0.026), pending: 1, contexts: 1
block  262 at ../test/md5/md5.js:168, transfers:   68 (avg/node: 0.026), pending: 1, contexts: 1
block  263 at ../test/md5/md5.js:168, transfers:   69 (avg/node: 0.027), pending: 1, contexts: 1
block  265 at ../test/md5/md5.js:169, transfers:   78 (avg/node: 0.03), pending: 1, contexts: 1
block  266 at ../test/md5/md5.js:169, transfers:   82 (avg/node: 0.032), pending: 1, contexts: 1
block  267 at ../test/md5/md5.js:169, transfers:   83 (avg/node: 0.032), pending: 1, contexts: 1
block  268 at ../test/md5/md5.js:169, transfers:   84 (avg/node: 0.033), pending: 1, contexts: 1
block  274 at ../test/md5/md5.js:170, transfers:   91 (avg/node: 0.036), pending: 1, contexts: 1
block  277 at ../test/md5/md5.js:170, transfers:   93 (avg/node: 0.036), pending: 1, contexts: 1
block  278 at ../test/md5/md5.js:178, transfers:   99 (avg/node: 0.039), pending: 1, contexts: 1
block  279 at ../test/md5/md5.js:178, transfers:  103 (avg/node: 0.04), pending: 1, contexts: 1
block  280 at ../test/md5/md5.js:178, transfers:  104 (avg/node: 0.041), pending: 1, contexts: 1
block  303 at ../test/md5/md5.js:177, transfers:  107 (avg/node: 0.042), pending: 1, contexts: 1
block  305 at ../test/md5/md5.js:165, transfers:  108 (avg/node: 0.042), pending: 1, contexts: 1
block  306 at ../test/md5/md5.js:165, transfers:  119 (avg/node: 0.047), pending: 2, contexts: 1
block  261 at ../test/md5/md5.js:168, transfers:  122 (avg/node: 0.048), pending: 2, contexts: 1
block  262 at ../test/md5/md5.js:168, transfers:  124 (avg/node: 0.049), pending: 2, contexts: 1
block  263 at ../test/md5/md5.js:168, transfers:  125 (avg/node: 0.049), pending: 2, contexts: 1
block  265 at ../test/md5/md5.js:169, transfers:  134 (avg/node: 0.053), pending: 3, contexts: 1
block  264 at ../test/md5/md5.js:169, transfers:  138 (avg/node: 0.054), pending: 3, contexts: 1
block  266 at ../test/md5/md5.js:169, transfers:  139 (avg/node: 0.055), pending: 3, contexts: 1
block  268 at ../test/md5/md5.js:169, transfers:  140 (avg/node: 0.055), pending: 3, contexts: 1
block  267 at ../test/md5/md5.js:169, transfers:  147 (avg/node: 0.058), pending: 4, contexts: 1
block  268 at ../test/md5/md5.js:169, transfers:  148 (avg/node: 0.058), pending: 4, contexts: 1
block  274 at ../test/md5/md5.js:170, transfers:  155 (avg/node: 0.061), pending: 3, contexts: 1
block  269 at ../test/md5/md5.js:170, transfers:  157 (avg/node: 0.062), pending: 4, contexts: 1
block  277 at ../test/md5/md5.js:170, transfers:  161 (avg/node: 0.063), pending: 5, contexts: 1
block  273 at ../test/md5/md5.js:170, transfers:  167 (avg/node: 0.066), pending: 6, contexts: 1
block  270 at ../test/md5/md5.js:170, transfers:  168 (avg/node: 0.066), pending: 5, contexts: 1
block  272 at ../test/md5/md5.js:170, transfers:  172 (avg/node: 0.068), pending: 6, contexts: 1
block  271 at ../test/md5/md5.js:170, transfers:  173 (avg/node: 0.068), pending: 5, contexts: 1
block  275 at ../test/md5/md5.js:172, transfers:  175 (avg/node: 0.069), pending: 4, contexts: 1
block  277 at ../test/md5/md5.js:170, transfers:  189 (avg/node: 0.074), pending: 4, contexts: 1
block  278 at ../test/md5/md5.js:178, transfers:  195 (avg/node: 0.077), pending: 3, contexts: 1
block  279 at ../test/md5/md5.js:178, transfers:  199 (avg/node: 0.078), pending: 3, contexts: 1
block  280 at ../test/md5/md5.js:178, transfers:  200 (avg/node: 0.079), pending: 3, contexts: 1
block  303 at ../test/md5/md5.js:177, transfers:  203 (avg/node: 0.08), pending: 3, contexts: 1
block  305 at ../test/md5/md5.js:165, transfers:  204 (avg/node: 0.08), pending: 3, contexts: 1
block  306 at ../test/md5/md5.js:165, transfers:  215 (avg/node: 0.085), pending: 4, contexts: 1
block  261 at ../test/md5/md5.js:168, transfers:  218 (avg/node: 0.086), pending: 3, contexts: 1
block  262 at ../test/md5/md5.js:168, transfers:  220 (avg/node: 0.087), pending: 3, contexts: 1
block  263 at ../test/md5/md5.js:168, transfers:  221 (avg/node: 0.087), pending: 3, contexts: 1
block  265 at ../test/md5/md5.js:169, transfers:  230 (avg/node: 0.091), pending: 4, contexts: 1
block  264 at ../test/md5/md5.js:169, transfers:  234 (avg/node: 0.092), pending: 4, contexts: 1
block  266 at ../test/md5/md5.js:169, transfers:  235 (avg/node: 0.093), pending: 4, contexts: 1
block  268 at ../test/md5/md5.js:169, transfers:  236 (avg/node: 0.093), pending: 4, contexts: 1
block  267 at ../test/md5/md5.js:169, transfers:  243 (avg/node: 0.096), pending: 5, contexts: 1
block  274 at ../test/md5/md5.js:170, transfers:  244 (avg/node: 0.096), pending: 4, contexts: 1
block  269 at ../test/md5/md5.js:170, transfers:  246 (avg/node: 0.097), pending: 5, contexts: 1
block  277 at ../test/md5/md5.js:170, transfers:  250 (avg/node: 0.099), pending: 6, contexts: 1
block  273 at ../test/md5/md5.js:170, transfers:  256 (avg/node: 0.101), pending: 6, contexts: 1
block  270 at ../test/md5/md5.js:170, transfers:  257 (avg/node: 0.101), pending: 5, contexts: 1
block  272 at ../test/md5/md5.js:170, transfers:  261 (avg/node: 0.103), pending: 6, contexts: 1
block  271 at ../test/md5/md5.js:170, transfers:  262 (avg/node: 0.103), pending: 5, contexts: 1
block  275 at ../test/md5/md5.js:172, transfers:  264 (avg/node: 0.104), pending: 4, contexts: 1
block  278 at ../test/md5/md5.js:178, transfers:  278 (avg/node: 0.11), pending: 3, contexts: 1
block  279 at ../test/md5/md5.js:178, transfers:  282 (avg/node: 0.111), pending: 3, contexts: 1
block  280 at ../test/md5/md5.js:178, transfers:  283 (avg/node: 0.112), pending: 3, contexts: 1
block  282 at ../test/md5/md5.js:179, transfers:  286 (avg/node: 0.113), pending: 2, contexts: 1
block  283 at ../test/md5/md5.js:180, transfers:  290 (avg/node: 0.115), pending: 3, contexts: 1
block  284 at ../test/md5/md5.js:180, transfers:  304 (avg/node: 0.12), pending: 3, contexts: 1
block  285 at ../test/md5/md5.js:180, transfers:  305 (avg/node: 0.12), pending: 3, contexts: 1
block  301 at ../test/md5/md5.js:179, transfers:  308 (avg/node: 0.122), pending: 3, contexts: 1
block  287 at ../test/md5/md5.js:182, transfers:  309 (avg/node: 0.122), pending: 2, contexts: 1
block  288 at ../test/md5/md5.js:183, transfers:  313 (avg/node: 0.124), pending: 3, contexts: 1
block  289 at ../test/md5/md5.js:183, transfers:  333 (avg/node: 0.132), pending: 3, contexts: 1
block  290 at ../test/md5/md5.js:183, transfers:  334 (avg/node: 0.132), pending: 3, contexts: 1
block  299 at ../test/md5/md5.js:182, transfers:  337 (avg/node: 0.133), pending: 3, contexts: 1
block  292 at ../test/md5/md5.js:186, transfers:  338 (avg/node: 0.134), pending: 2, contexts: 1
block  297 at ../test/md5/md5.js:186, transfers:  342 (avg/node: 0.135), pending: 3, contexts: 1
block  293 at ../test/md5/md5.js:187, transfers:  343 (avg/node: 0.136), pending: 2, contexts: 1
block  294 at ../test/md5/md5.js:187, transfers:  369 (avg/node: 0.146), pending: 2, contexts: 1
block  295 at ../test/md5/md5.js:187, transfers:  370 (avg/node: 0.146), pending: 2, contexts: 1
block  259 at ../test/md5/md5.js:159, transfers:  373 (avg/node: 0.147), pending: 1, contexts: 1
